"","BirdID","FieldPeriodID","Status","PeriodYear","Island","BirthDate","birthyear","popden","PeriodEnd","BreedGroupID","TerritoryID","newstat","next_status","next_year","next_breedgroup","change","occasionyear","avg_invert","age","SexEstimate"
"1",329,22,"BrF",1997,"CN",1988-09-13,1988,379,1997-08-28,85,115,"Dom","Helper",1998,169,"br2help",1997,6.34906043057842,9,0
"2",449,28,"BrF",1999,"CN",1992-08-09,1992,376,1999-09-26,383,52,"Dom","Sub",2000,3061,"br2sub",1999,5.15521640609487,7,0
"3",453,39,"BrM",2000,"CN",1992-08-10,1992,404,2000-08-13,3070,65,"Dom","Sub",2001,3187,"br2sub",NA,NA,8,1
"4",458,35,"BrF",2005,"CN",1992-08-11,1992,328,2005-01-12,2884,14,"Dom","Sub",2005,657,"br2sub",2005,5.85391449056688,13,0
"5",472,28,"BrF",1999,"CN",1992-12-15,1992,376,1999-09-26,413,100,"Dom","Sub",2000,3096,"br2sub",1999,5.15521640609487,7,0
"6",499,54,"BrM",2005,"CN",1993-07-08,1993,389,2005-12-11,6322,14,"Dom","Sub",2006,3771,"br2sub",NA,NA,12,1
"7",500,23,"BrF",1998,"CN",1991-05-03,1991,368,1998-03-28,136,40,"Dom","Sub",1998,188,"br2sub",1998,5.83789656882623,7,0
"8",524,35,"BrF",2005,"CN",1993-07-16,1993,328,2005-01-12,2977,171,"Dom","Sub",2005,750,"br2sub",2005,5.85391449056688,12,0
"9",542,26,"BrF",1999,"CN",1993-07-21,1993,295,1999-01-29,313,159,"Dom","Sub",1999,2491,"br2sub",1999,1.51550549589335,6,0
"10",549,23,"BrM",1998,"CN",1993-07-24,1993,368,1998-03-28,2344,130,"Dom","Sub",1998,267,"br2sub",1998,5.83789656882623,5,1
"11",554,23,"BrF",1998,"CN",1993-07-24,1993,368,1998-03-28,178,148,"Dom","Sub",1998,7023,"br2sub",1998,5.83789656882623,5,0
"12",555,23,"BrM",1998,"CN",1993-07-24,1993,368,1998-03-28,2326,61,"Dom","Sub",1998,224,"br2sub",1998,5.83789656882623,5,1
"13",559,23,"BrM",1998,"CN",1993-07-24,1993,368,1998-03-28,2351,167,"Dom","Sub",1998,225,"br2sub",1998,5.83789656882623,5,1
"14",601,40,"BrF",2001,"CN",1993-07-10,1993,305,2001-07-26,3248,173,"Dom","Sub",2002,854,"br2sub",NA,NA,8,0
"15",609,32,"BrM",2004,"CN",1993-07-11,1993,351,2004-05-29,2737,42,"Dom","Sub",2004,591,"br2sub",NA,NA,11,1
"16",627,26,"BrF",1999,"CN",1994-04-17,1994,295,1999-01-29,2467,164,"Dom","Sub",1999,2525,"br2sub",1999,1.51550549589335,5,0
"17",640,23,"BrF",1998,"CN",1993-07-17,1993,368,1998-03-28,2334,99,"Dom","Sub",1998,251,"br2sub",1998,5.83789656882623,5,0
"18",665,22,"BrF",1997,"CN",1993-07-21,1993,379,1997-08-28,103,144,"Dom","Sub",1998,2348,"br2sub",1997,6.34906043057842,4,0
"19",827,22,"BrF",1997,"CN",1994-05-27,1994,379,1997-08-28,53,63,"Dom","Sub",1998,2327,"br2sub",1997,6.34906043057842,3,0
"20",848,26,"BrF",1999,"CN",1994-10-22,1994,295,1999-01-29,2433,64,"Dom","Sub",1999,2496,"br2sub",1999,1.51550549589335,5,0
"21",856,22,"BrM",1997,"CN",1994-06-30,1994,379,1997-08-28,73,95,"Dom","Sub",1998,159,"br2sub",1997,6.34906043057842,3,1
"22",869,39,"BrF",2000,"CN",1995-07-04,1995,404,2000-08-13,3070,65,"Dom","Sub",2001,3187,"br2sub",NA,NA,5,0
"23",916,22,"BrM",1997,"CN",1994-05-27,1994,379,1997-08-28,106,157,"Dom","Sub",1998,139,"br2sub",1997,6.34906043057842,3,1
"24",921,30,"BrM",2003,"CN",1994-05-28,1994,373,2003-09-02,477,47,"Dom","Sub",2003,2624,"br2sub",2003,3.65308711255895,9,1
"25",930,28,"BrF",1999,"CN",1994-06-08,1994,376,1999-09-26,361,17,"Dom","Sub",2000,3038,"br2sub",1999,5.15521640609487,5,0
"26",1017,32,"BrF",2004,"CN",1992-08-10,1992,351,2004-05-29,2791,110,"Dom","Sub",2004,2861,"br2sub",NA,NA,12,0
"27",1040,54,"BrM",2005,"CN",1995-07-16,1995,389,2005-12-11,6376,109,"Dom","Sub",2006,3840,"br2sub",NA,NA,10,1
"28",1049,41,"BrF",2002,"CN",1996-07-22,1996,396,2002-10-02,836,116,"Dom","Helper",2003,527,"br2help",NA,NA,6,0
"29",1155,77,"BrF",2007,"CN",1996-07-08,1996,379,2007-01-29,3986,169,"Dom","Sub",2007,4297,"br2sub",2007,2.69293973167199,11,0
"30",1200,54,"BrF",2005,"CN",1996-07-17,1996,389,2005-12-11,6341,50,"Dom","Sub",2006,3796,"br2sub",NA,NA,9,0
